threshold,precision,recall,f1
0.05,0.16,1.0,0.276
0.075,0.188,1.0,0.316
0.1,0.214,1.0,0.353
0.125,0.279,1.0,0.436
0.15,0.353,1.0,0.522
0.175,0.429,1.0,0.6
0.2,0.522,1.0,0.686
0.225,0.8,1.0,0.889
0.25,0.8,1.0,0.889
0.275,0.8,1.0,0.889
0.3,0.857,1.0,0.923
0.325,0.846,0.917,0.88
0.35,0.846,0.917,0.88
0.375,0.833,0.833,0.833
0.4,0.833,0.833,0.833
0.425,0.875,0.583,0.7
0.45,0.875,0.583,0.7
0.475,0.875,0.583,0.7
0.5,0.875,0.583,0.7
0.525,0.875,0.583,0.7
0.55,0.857,0.5,0.632
0.575,1.0,0.333,0.5
0.6,1.0,0.25,0.4
0.625,1.0,0.167,0.286
0.65,0.0,0.0,0.0
0.675,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.725,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.775,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.825,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.95,0.0,0.0,0.0
